dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,Age,0.1807458898473411,0.06599122609823548,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,BusinessTravel,0.04112229055491996,0.015013953434731324,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,DailyRate,0.06225237360820153,0.02272865217239731,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,Department,0.001728272631560268,0.0006310009598835911,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,DistanceFromHome,0.12219817818635395,0.044615164484786085,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,Education,0.0017699911114149923,0.0006462325850059827,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,EducationField,0.0332468223752538,0.012138580712769239,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,EmployeeCount,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,EmployeeNumber,0.03661228354593198,0.013367327375980419,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,EnvironmentSatisfaction,0.11436762193985435,0.04175618933368221,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,HourlyRate,0.035425937673735766,0.012934186579534471,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,JobInvolvement,0.04004084151573502,0.014619110995332843,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,JobLevel,0.018284747991255658,0.0066758527115572995,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,JobRole,0.19196803882556923,0.07008848867585657,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,JobSatisfaction,0.09045101395373378,0.03302411644146887,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,MaritalStatus,0.0417065212198988,0.01522725896515696,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,MonthlyIncome,0.16383338481507606,0.0598163861369263,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,MonthlyRate,0.025984054169610336,0.009486907807993945,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,NumCompaniesWorked,0.20278411657085943,0.07403749262050167,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,Over18,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,OverTime,0.4411331695397314,0.1610599209482157,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,PercentSalaryHike,0.013817013299250705,0.005044660486627343,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,PerformanceRating,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,RelationshipSatisfaction,0.12485369770552256,0.04558470790923542,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,StandardHours,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,StockOptionLevel,0.30545730708561397,0.11152398669906147,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,TotalWorkingYears,0.09623879957766424,0.035137265847187044,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,TrainingTimesLastYear,0.054471044297486,0.019887650021134233,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,WorkLifeBalance,0.08674428402007771,0.031670770850354205,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,YearsAtCompany,0.04218081885206324,0.015400427396862142,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,YearsInCurrentRole,0.008946125097813768,0.0032662749041295117,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,YearsSinceLastPromotion,0.0509434251472654,0.018599698670609528,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,global,all,YearsWithCurrManager,0.10963013214458861,0.040026508174782746,False,False,294,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,Age,0.1723388358030502,0.06418318997824124,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,BusinessTravel,0.044889989811014046,0.01671812816151468,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,DailyRate,0.0656179562517317,0.024437728922004694,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,Department,0.0018823507281496774,0.0007010333673634644,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,DistanceFromHome,0.12357637993181546,0.046022860912506236,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,Education,0.001922534278005412,0.0007159987023813832,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,EducationField,0.03812561377203196,0.014198909377360831,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,EmployeeCount,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,EmployeeNumber,0.03675495425388406,0.013688442309164385,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,EnvironmentSatisfaction,0.11600839309612722,0.0432043578480959,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,HourlyRate,0.0313719927257294,0.011683696015056026,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,JobInvolvement,0.03863664026403555,0.014389228119316727,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,JobLevel,0.01706747124097817,0.006356342979824646,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,JobRole,0.18703539811833764,0.06965654859015116,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,JobSatisfaction,0.08805414621355569,0.03279351382676828,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,MaritalStatus,0.03678536422472899,0.013699767724743982,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,MonthlyIncome,0.16587664206483987,0.06177651126045212,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,MonthlyRate,0.026094635051698442,0.009718279174463306,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,NumCompaniesWorked,0.1891976892017419,0.07046183858034812,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,Over18,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,OverTime,0.4256395217525272,0.15851854957469014,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,PercentSalaryHike,0.013396306732470775,0.004989111688090828,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,PerformanceRating,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,RelationshipSatisfaction,0.11956870314327629,0.04453030423199021,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,StandardHours,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,StockOptionLevel,0.3011539350552975,0.11215707786513306,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,TotalWorkingYears,0.08390272242169901,0.031247422252740072,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,TrainingTimesLastYear,0.056731280028761606,0.021128113734944727,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,WorkLifeBalance,0.0906950497983431,0.033777050797450484,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,YearsAtCompany,0.04249936168753904,0.015827799882915463,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,YearsInCurrentRole,0.009051893984044846,0.0033711463149536177,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,YearsSinceLastPromotion,0.048728989478332554,0.018147865363961,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Male,YearsWithCurrManager,0.11250385538391727,0.04189918244337322,False,False,178,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,Age,0.1936463693290978,0.06863147547564327,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,BusinessTravel,0.035340821006775554,0.012525371369568735,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,DailyRate,0.05708794506899144,0.020232911753169765,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,Department,0.001491842448862714,0.0005287336333615421,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,DistanceFromHome,0.12008335137004239,0.04255952545425663,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,Education,0.0015359162523365941,0.0005443541181282626,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,EducationField,0.025760401093990817,0.009129912128227568,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,EmployeeCount,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,EmployeeNumber,0.03639335780441928,0.012898407815668752,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,EnvironmentSatisfaction,0.11184988688971147,0.03964144949177329,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,HourlyRate,0.04164664630084897,0.014760260128512592,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,JobInvolvement,0.04219556412610142,0.01495480568282625,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,JobLevel,0.020152638177026328,0.007142428219067394,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,JobRole,0.19953709094528654,0.07071924462688524,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,JobSatisfaction,0.09412896617573129,0.03336086215310534,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,MaritalStatus,0.04925795178145259,0.017457832653313774,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,MonthlyIncome,0.1606980417938866,0.05695404335527498,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,MonthlyRate,0.025814369712613087,0.009149039499106048,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,NumCompaniesWorked,0.22363225512002236,0.07925896925414935,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,Over18,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,OverTime,0.4649079049373376,0.16477104934466283,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,PercentSalaryHike,0.014462580272413027,0.005125777605433721,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,PerformanceRating,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,RelationshipSatisfaction,0.1329634307406933,0.047124438571470126,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,StandardHours,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,StockOptionLevel,0.31206075727006455,0.11059949269223351,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,TotalWorkingYears,0.11516829728250758,0.04081754900905499,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,TrainingTimesLastYear,0.05100275153742508,0.01807621853928112,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,WorkLifeBalance,0.08068190204998092,0.02859500026288108,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsAtCompany,0.04169202036314358,0.014776341446506788,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsInCurrentRole,0.008783824565493684,0.0031131326775587905,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsSinceLastPromotion,0.054341438501317535,0.019259504408657882,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsWithCurrManager,0.10522045338079117,0.03729186863022029,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Age,0.1918579560004857,0.06958041733558272,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,BusinessTravel,0.030865554278599792,0.011193896738864546,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,DailyRate,0.05883914767116176,0.02133897668866571,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Department,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,DistanceFromHome,0.11857065686680704,0.04300158284040994,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Education,0.0017268489698757739,0.0006262699473311041,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EducationField,0.032415641267395816,0.011756061070411012,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EmployeeCount,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EmployeeNumber,0.03994117193618319,0.014485317524100256,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EnvironmentSatisfaction,0.11621878023116755,0.04214863641462196,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,HourlyRate,0.039593198586581835,0.014359119312716924,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobInvolvement,0.042246924721795795,0.015321536383302534,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobLevel,0.019899351118073803,0.007216824281706434,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobRole,0.19104588986416926,0.06928590830480347,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobSatisfaction,0.09276499818164825,0.03364273977565631,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MaritalStatus,0.04220457832126259,0.015306178770393574,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MonthlyIncome,0.16459335741245285,0.059692465916785876,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MonthlyRate,0.03724051598454157,0.013505880590066757,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,NumCompaniesWorked,0.2101045891775555,0.07619785649680569,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Over18,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,OverTime,0.44252994822998926,0.16049070428571918,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,PercentSalaryHike,0.01798029732853276,0.006520848121273665,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,PerformanceRating,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,RelationshipSatisfaction,0.12777862488343603,0.04634100264225606,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,StandardHours,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,StockOptionLevel,0.30313420820481274,0.10993656533862427,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,TotalWorkingYears,0.1049201113350094,0.03805098983524705,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,TrainingTimesLastYear,0.05645628299078223,0.020474791942974954,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,WorkLifeBalance,0.07368036905487148,0.026721387713860217,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsAtCompany,0.040748073803710094,0.014777953648563297,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsInCurrentRole,0.009103991878332657,0.0033017111592314593,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsSinceLastPromotion,0.04397847957810528,0.015949512997111368,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsWithCurrManager,0.10691608963148377,0.038774863922913766,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,Age,0.18326545767485905,0.06789269349985126,False,False,178,42
